essay_id,session_uuid,model,error_count,messages,score_1,score_2,autoscore,rubric_max_score,rubric1_1,rubric1_2,rubric1_3,rubric1_4,rubric1_5,rubric1_6,rubric1_7,rubric1_8,rubric1_9,rubric2_1,rubric2_2,rubric2_3,rubric2_4,rubric2_5,rubric2_6,rubric2_7,rubric2_8,rubric2_9,autoscore_trait1,autoscore_trait2,autoscore_trait3,autoscore_trait4,autoscore_trait5,autoscore_trait6,autoscore_trait7,autoscore_trait8,autoscore_trait9,,,,,
17834,86d720d0-0214-4b9b-b57a-77dd7c579be1,c3s-002,0,,8,7,5,12,1,2,2,3,,,,,,1,2,2,2,,,,,,2,1,1,1,,,,,,,,,,
17836,737bab2e-4bad-41d5-ad6f-907231043d84,c3s-002,0,,6,7,7,12,1,1,2,2,,,,,,2,2,2,1,,,,,,2,2,2,1,,,,,,,,,,
17837,17ae4286-2705-41e9-8122-040b041ea635,c3s-002,0,,7,8,6,12,1,2,2,2,,,,,,2,2,2,2,,,,,,2,2,1,1,,,,,,,,,,
17838,fbcc09f7-042d-4f04-ad1c-9269da4cb07e,c3s-002,0,,8,9,9,12,2,2,2,2,,,,,,2,2,2,3,,,,,,2,3,2,2,,,,,,,,,,
17839,6fa36cfd-44f1-4f40-b0d3-c8d2f9ea3657,c3s-002,0,,7,6,8,12,1,2,2,2,,,,,,1,2,1,2,,,,,,2,2,2,2,,,,,,,,,,
17840,3e87e54b-7456-4e35-9ba2-6cc2b76aeb79,c3s-002,0,,11,12,8,12,2,3,3,3,,,,,,3,3,3,3,,,,,,2,2,2,2,,,,,,,,,,
17841,20630d43-827e-49dd-91fa-e7690602bc55,c3s-002,0,,8,8,7,12,2,2,2,2,,,,,,2,2,2,2,,,,,,2,2,2,1,,,,,,,,,,
17842,7c0ca284-667f-4aad-b90d-4ddd929992c4,c3s-002,0,,9,9,8,12,2,2,2,3,,,,,,2,2,2,3,,,,,,2,2,2,2,,,,,,,,,,
17843,51afa9b8-44bb-434c-8471-0539e14d1c00,c3s-002,0,,8,4,4,12,2,2,2,2,,,,,,1,1,1,1,,,,,,1,1,1,1,,,,,,,,,,
17844,ea58ff4c-6f2a-4f6f-8a06-f162ccd274f4,c3s-002,0,,4,6,4,12,0,1,1,2,,,,,,1,1,2,2,,,,,,1,1,1,1,,,,,,,,,,
